elect_dist,republican,democratic,green,libertarian,year
32054,18,471,5,4,2016
32055,12,540,8,0,2016
32056,6,234,1,1,2016
32057,16,765,5,2,2016
32058,17,743,8,3,2016
32059,25,673,10,2,2016
32060,22,712,3,2,2016
32061,20,702,5,0,2016
32062,11,716,6,1,2016
32063,9,595,6,0,2016
32064,17,609,4,1,2016
32065,29,604,5,3,2016
32066,15,656,9,4,2016
32067,11,596,5,4,2016
32068,12,601,4,3,2016
32069,11,616,7,4,2016
32070,8,621,7,1,2016
32071,11,583,11,1,2016
32072,16,681,2,2,2016
32073,18,475,4,4,2016
32074,8,377,4,0,2016
32075,5,407,1,2,2016
32076,0,0,0,0,2016
32077,18,506,3,0,2016
32078,6,404,4,1,2016
32079,11,531,9,5,2016
33001,239,449,10,14,2016
33002,270,453,6,20,2016
33003,214,518,5,10,2016
33004,149,452,7,18,2016
33005,222,473,11,7,2016
33006,293,449,13,6,2016
33007,243,415,5,4,2016
33008,234,486,11,10,2016
33009,268,383,10,10,2016
33010,129,333,4,10,2016
33011,213,460,6,13,2016
33012,161,564,8,5,2016
33013,171,579,9,6,2016
33014,114,513,14,6,2016
33015,118,371,7,7,2016
33016,7,104,1,0,2016
33017,130,523,8,4,2016
33018,159,518,6,11,2016
33019,150,564,11,3,2016
33020,120,572,4,5,2016
33021,67,464,7,4,2016
33022,67,433,9,7,2016
33023,50,647,4,1,2016
33024,89,697,6,2,2016
33025,89,613,3,5,2016
33026,51,415,6,1,2016
33027,80,535,4,6,2016
33028,62,559,5,3,2016
33029,22,664,7,3,2016
33030,14,655,8,0,2016
33031,12,645,8,2,2016
33032,17,677,5,0,2016
33033,8,652,5,1,2016
33034,16,624,0,1,2016
33035,11,639,4,0,2016
33036,16,646,9,4,2016
33037,12,629,12,2,2016
33038,19,575,3,3,2016
33039,13,525,2,0,2016
33040,22,463,2,2,2016
33041,18,595,10,1,2016
33042,16,611,2,2,2016
33043,23,527,8,1,2016
33044,25,610,3,1,2016
33045,13,715,6,1,2016
33046,18,693,7,3,2016
33047,11,537,5,1,2016
33048,25,629,6,1,2016
33049,30,674,11,5,2016
33050,57,701,11,1,2016
33051,33,611,8,4,2016
33052,55,554,3,3,2016
33053,22,580,7,2,2016
33054,12,633,5,3,2016
33055,17,674,4,3,2016
33056,15,711,6,1,2016
33057,23,700,9,4,2016
33058,20,680,7,3,2016
33059,22,674,5,3,2016
33060,15,630,7,1,2016
33061,14,624,5,2,2016
33062,19,736,1,5,2016
33063,11,699,10,1,2016
33064,21,681,4,5,2016
33065,16,776,9,0,2016
33066,11,616,9,2,2016
33067,18,696,8,4,2016
33068,16,743,6,0,2016
33069,11,543,4,2,2016
33070,13,515,3,2,2016
33071,16,517,8,2,2016
33072,13,521,6,3,2016
33073,24,544,6,6,2016
33074,77,425,7,6,2016
34001,60,638,8,7,2016
34002,113,488,4,4,2016
34003,72,552,8,6,2016
34004,81,581,3,5,2016
34005,56,528,11,3,2016
34006,49,364,6,1,2016
34007,69,544,7,4,2016
34008,103,501,19,7,2016
34009,76,579,7,9,2016
34010,134,545,10,8,2016
34011,84,391,13,6,2016
34012,75,399,9,3,2016
34013,115,592,17,3,2016
34014,72,459,13,2,2016
34015,88,507,8,3,2016
34016,145,531,12,8,2016
34017,158,475,15,17,2016
34018,131,650,11,7,2016
34019,145,559,16,6,2016
34020,108,589,12,4,2016
34021,88,649,10,9,2016
34022,124,610,19,10,2016
34023,95,533,15,3,2016
34024,146,700,19,8,2016
34025,117,706,17,9,2016
34026,115,585,18,8,2016
34027,95,436,13,4,2016
34028,122,640,11,11,2016
34029,98,537,11,2,2016
34030,3,29,1,0,2016
34031,19,152,6,2,2016
34032,19,91,1,1,2016
34033,18,83,1,0,2016
34034,24,125,2,2,2016
34035,107,558,17,6,2016
34036,118,554,8,8,2016
34037,137,491,18,7,2016
34038,109,536,5,2,2016
34039,124,567,3,9,2016
34040,132,397,7,5,2016
34041,149,401,9,2,2016
34042,72,347,8,6,2016
34043,31,168,2,2,2016
34044,26,194,3,0,2016
34045,150,551,14,9,2016
34046,82,329,8,2,2016
34047,8,32,0,0,2016
34048,62,203,6,1,2016
34049,114,593,7,6,2016
34050,95,579,12,2,2016
34051,126,614,13,6,2016
34052,119,536,18,7,2016
34053,16,61,3,0,2016
34054,0,0,0,0,2016
34055,0,0,0,0,2016
34056,20,66,3,2,2016
34057,19,118,3,2,2016
34058,0,0,0,0,2016
34059,4,22,1,0,2016
34060,91,397,11,2,2016
34061,5,42,1,0,2016
34062,42,93,2,2,2016
34063,88,710,23,8,2016
34064,0,0,0,0,2016
35001,23,73,1,1,2016
35002,120,453,4,7,2016
35003,141,373,6,5,2016
35004,70,281,2,5,2016
35005,155,403,7,8,2016
